INFO    	TITANIUM	Ignore file found			2016/12/01 20:35:02
WORKER  	TITANIUM	Worker joined ... 	TITANIUM	2016/12/01 20:35:02	2016/12/01 20:35:02
WORK    	TITANIUM	Start transcoding	N:\SoM\proxies\00 - UK - London\Eurotunnel - train crossing\MAH01955.mov.ffmpeg	TITANIUM 20:35:02	2016/12/01 20:35:02
INFO    	KRYPTON	Ignore file found			2016/12/01 20:42:14
WORKER  	KRYPTON	Worker joined ... 	KRYPTON	2016/12/01 20:42:15	2016/12/01 20:42:15
WORK    	KRYPTON	Start transcoding	/Volumes/proxies/00 - UK - London/Eurotunnel - train crossing/MAH01956.mov.ffmpeg	KRYPTON 20:42:15	2016/12/01 20:42:15
WORK    	Finished transcoding	/Volumes/proxies/00 - UK - London/leaving London_MAH01922.mov.ffmpeg	LITHIUM 20:48:49 4.29
WORK    	work file found: 	MAH01958.mov.ffmpeg	
WORK    	Start transcoding	/Volumes/proxies/00 - UK - London/Eurotunnel - train crossing/MAH01958.mov.ffmpeg	LITHIUM 20:48:50
INFO    	IMAC	Ignore file found			2016/12/01 20:48:56
WORKER  	IMAC	Worker joined ... 	IMAC	2016/12/01 20:48:58	2016/12/01 20:48:58
WORK    	IMAC	Start transcoding	/Volumes/proxies/00 - UK - London/Preperations/Anthony 1080 converter.mov.ffmpeg	IMAC 20:48:58	2016/12/01 20:48:58
INFO    	LITHIUM	Ignore file found			2016/12/01 20:50:45
WORKER  	LITHIUM	Worker joined ... 	LITHIUM	2016/12/01 20:50:46	2016/12/01 20:50:46
WORK    	LITHIUM	Start transcoding	/Volumes/proxies/00 - UK - London/Preperations/Anthony 1080.mov.ffmpeg	LITHIUM 20:50:46	2016/12/01 20:50:46
WORK    	TITANIUM	Finished transcoding	N:\SoM\proxies\00 - UK - London\Eurotunnel - train crossing\MAH01955.mov.ffmpeg	TITANIUM 20:51:01 3.41	2016/12/01 20:51:01
WORK    	TITANIUM	Start transcoding	N:\SoM\proxies\00 - UK - London\Preperations\Calendimaggio 1.mov.ffmpeg	TITANIUM 20:51:02	2016/12/01 20:51:02
WORK    	LITHIUM	Finished transcoding	/Volumes/proxies/00 - UK - London/Preperations/Anthony 1080.mov.ffmpeg	LITHIUM 20:55:07 2.27	2016/12/01 20:55:07
WORK    	LITHIUM	Start transcoding	/Volumes/proxies/00 - UK - London/Preperations/calendimaggio 2.mov.ffmpeg	LITHIUM 20:55:08	2016/12/01 20:55:08
WORK    	TITANIUM	Finished transcoding	N:\SoM\proxies\00 - UK - London\Preperations\Calendimaggio 1.mov.ffmpeg	TITANIUM 20:57:11 5.04	2016/12/01 20:57:11
WORK    	TITANIUM	Start transcoding	N:\SoM\proxies\00 - UK - London\Preperations\departure from london 1.MOV.ffmpeg	TITANIUM 20:57:11	2016/12/01 20:57:11
WORK    	TITANIUM	Finished transcoding	N:\SoM\proxies\00 - UK - London\Preperations\departure from london 1.MOV.ffmpeg	TITANIUM 20:58:07 2.07	2016/12/01 20:58:07
WORK    	TITANIUM	Start transcoding	N:\SoM\proxies\00 - UK - London\Preperations\departure from london 1a.MOV.ffmpeg	TITANIUM 20:58:07	2016/12/01 20:58:07
WORK    	TITANIUM	Finished transcoding	N:\SoM\proxies\00 - UK - London\Preperations\departure from london 1a.MOV.ffmpeg	TITANIUM 21:00:27 1.87	2016/12/01 21:00:27
WORK    	TITANIUM	Start transcoding	N:\SoM\proxies\00 - UK - London\Preperations\departure from london 2.MOV.ffmpeg	TITANIUM 21:00:27	2016/12/01 21:00:27
WORK    	TITANIUM	Finished transcoding	N:\SoM\proxies\00 - UK - London\Preperations\departure from london 2.MOV.ffmpeg	TITANIUM 21:00:47 2.13	2016/12/01 21:00:47
WORK    	TITANIUM	Start transcoding	N:\SoM\proxies\00 - UK - London\Preperations\departure from london 3.MOV.ffmpeg	TITANIUM 21:00:47	2016/12/01 21:00:47
WORK    	TITANIUM	Finished transcoding	N:\SoM\proxies\00 - UK - London\Preperations\departure from london 3.MOV.ffmpeg	TITANIUM 21:01:01 2.30	2016/12/01 21:01:01
WORK    	TITANIUM	Start transcoding	N:\SoM\proxies\00 - UK - London\Preperations\departure from london 4 .MOV.ffmpeg	TITANIUM 21:01:01	2016/12/01 21:01:01
WORK    	TITANIUM	Finished transcoding	N:\SoM\proxies\00 - UK - London\Preperations\departure from london 4 .MOV.ffmpeg	TITANIUM 21:01:38 1.69	2016/12/01 21:01:38
WORK    	TITANIUM	Start transcoding	N:\SoM\proxies\00 - UK - London\Preperations\DSC_0926.MOV.ffmpeg	TITANIUM 21:01:38	2016/12/01 21:01:38
WORK    	TITANIUM	Finished transcoding	N:\SoM\proxies\00 - UK - London\Preperations\DSC_0926.MOV.ffmpeg	TITANIUM 21:02:49 0.92	2016/12/01 21:02:49
WORK    	TITANIUM	Start transcoding	N:\SoM\proxies\00 - UK - London\Preperations\DSC_0927.MOV.ffmpeg	TITANIUM 21:02:49	2016/12/01 21:02:49
WORK    	LITHIUM	Finished transcoding	/Volumes/proxies/00 - UK - London/Preperations/calendimaggio 2.mov.ffmpeg	LITHIUM 21:05:57 4.89	2016/12/01 21:05:57
WORK    	LITHIUM	Start transcoding	/Volumes/proxies/00 - UK - London/Preperations/DSC_0928.MOV.ffmpeg	LITHIUM 21:05:58	2016/12/01 21:05:58
WORK    	LITHIUM	Finished transcoding	/Volumes/proxies/00 - UK - London/Preperations/DSC_0928.MOV.ffmpeg	LITHIUM 21:06:51 0.86	2016/12/01 21:06:52
WORK    	LITHIUM	Start transcoding	/Volumes/proxies/00 - UK - London/Preperations/DSC_0929.MOV.ffmpeg	LITHIUM 21:06:52	2016/12/01 21:06:52
WORK    	LITHIUM	Finished transcoding	/Volumes/proxies/00 - UK - London/Preperations/DSC_0929.MOV.ffmpeg	LITHIUM 21:07:25 1.30	2016/12/01 21:07:25
WORK    	LITHIUM	Start transcoding	/Volumes/proxies/00 - UK - London/Preperations/DSC_0930.MOV.ffmpeg	LITHIUM 21:07:25	2016/12/01 21:07:25
WORK    	LITHIUM	Finished transcoding	/Volumes/proxies/00 - UK - London/Preperations/DSC_0930.MOV.ffmpeg	LITHIUM 21:07:46 0.96	2016/12/01 21:07:46
WORK    	LITHIUM	Start transcoding	/Volumes/proxies/00 - UK - London/Preperations/DSC_0931.MOV.ffmpeg	LITHIUM 21:07:46	2016/12/01 21:07:46
WORK    	LITHIUM	Finished transcoding	/Volumes/proxies/00 - UK - London/Preperations/DSC_0931.MOV.ffmpeg	LITHIUM 21:08:18 0.96	2016/12/01 21:08:18
WORK    	LITHIUM	Start transcoding	/Volumes/proxies/00 - UK - London/Preperations/DSC_0932.MOV.ffmpeg	LITHIUM 21:08:18	2016/12/01 21:08:18
WORK    	LITHIUM	Finished transcoding	/Volumes/proxies/00 - UK - London/Preperations/DSC_0932.MOV.ffmpeg	LITHIUM 21:09:52 1.97	2016/12/01 21:09:52
WORK    	LITHIUM	Start transcoding	/Volumes/proxies/00 - UK - London/Preperations/DSC_0934.MOV.ffmpeg	LITHIUM 21:09:52	2016/12/01 21:09:52
WORK    	TITANIUM	Finished transcoding	N:\SoM\proxies\00 - UK - London\Preperations\DSC_0927.MOV.ffmpeg	TITANIUM 21:11:00 0.93	2016/12/01 21:11:00
WORK    	TITANIUM	Start transcoding	N:\SoM\proxies\00 - UK - London\Preperations\Gloves.MOV.ffmpeg	TITANIUM 21:11:00	2016/12/01 21:11:00
WORK    	LITHIUM	Finished transcoding	/Volumes/proxies/00 - UK - London/Preperations/DSC_0934.MOV.ffmpeg	LITHIUM 21:11:35 2.02	2016/12/01 21:11:35
WORK    	LITHIUM	Start transcoding	/Volumes/proxies/00 - UK - London/Preperations/Goodbye from friends.mov.ffmpeg	LITHIUM 21:11:35	2016/12/01 21:11:35
WORK    	TITANIUM	Finished transcoding	N:\SoM\proxies\00 - UK - London\Preperations\Gloves.MOV.ffmpeg	TITANIUM 21:11:55 1.44	2016/12/01 21:11:55
WORK    	TITANIUM	Start transcoding	N:\SoM\proxies\00 - UK - London\Preperations\London - Pall Mall -Buckingham Palace.MOV.ffmpeg	TITANIUM 21:11:55	2016/12/01 21:11:55
WORK    	TITANIUM	Finished transcoding	N:\SoM\proxies\00 - UK - London\Preperations\London - Pall Mall -Buckingham Palace.MOV.ffmpeg	TITANIUM 21:12:38 2.41	2016/12/01 21:12:38
WORK    	TITANIUM	Start transcoding	N:\SoM\proxies\00 - UK - London\Preperations\London general views 2.MOV.ffmpeg	TITANIUM 21:12:38	2016/12/01 21:12:38
WORK    	TITANIUM	Finished transcoding	N:\SoM\proxies\00 - UK - London\Preperations\London general views 2.MOV.ffmpeg	TITANIUM 21:13:18 2.03	2016/12/01 21:13:19
WORK    	TITANIUM	Start transcoding	N:\SoM\proxies\00 - UK - London\Preperations\London general views.MOV.ffmpeg	TITANIUM 21:13:19	2016/12/01 21:13:19
WORK    	TITANIUM	Finished transcoding	N:\SoM\proxies\00 - UK - London\Preperations\London general views.MOV.ffmpeg	TITANIUM 21:13:55 1.92	2016/12/01 21:13:55
WORK    	TITANIUM	Start transcoding	N:\SoM\proxies\00 - UK - London\Preperations\MAH01918.mov.ffmpeg	TITANIUM 21:13:55	2016/12/01 21:13:55
WORK    	TITANIUM	Finished transcoding	N:\SoM\proxies\00 - UK - London\Preperations\MAH01918.mov.ffmpeg	TITANIUM 21:15:33 4.47	2016/12/01 21:15:34
WORK    	TITANIUM	Start transcoding	N:\SoM\proxies\00 - UK - London\Preperations\MAH01919.mov.ffmpeg	TITANIUM 21:15:34	2016/12/01 21:15:34
WORK    	LITHIUM	Finished transcoding	/Volumes/proxies/00 - UK - London/Preperations/Goodbye from friends.mov.ffmpeg	LITHIUM 21:18:32 2.70	2016/12/01 21:18:32
WORK    	LITHIUM	Start transcoding	/Volumes/proxies/00 - UK - London/Preperations/MAH01920.mov.ffmpeg	LITHIUM 21:18:33	2016/12/01 21:18:33
WORK    	TITANIUM	Finished transcoding	N:\SoM\proxies\00 - UK - London\Preperations\MAH01919.mov.ffmpeg	TITANIUM 21:21:02 4.60	2016/12/01 21:21:02
